Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.12_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.629624127999705,False,4.598330608000651
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.12_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.7746111579999706,True,4.7185539660004
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.13_start_0.1_1.8_epsilon_0.01.vnnlib],False,4.600101146999805,False,4.131452849999732
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.14_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.2890321769991715,False,4.842143111000041
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.14_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.159874140000284,True,3.886129274999803
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.15_start_0.1_1.8_epsilon_0.01.vnnlib],False,4.196897605000231,False,3.6052847370001473
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_0.15_epsilon_0.01.vnnlib],True,5.335668878999968,True,4.574056421000023
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.213997546000428,True,4.249655014999917
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.2365037750005285,False,4.192749263999758
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.18_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.3997027879995585,False,3.695515592999982
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.19_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.509403781000401,False,4.251629950000279
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.19_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.9745094820000304,False,3.641811557999972
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.20_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.983334408999326,False,3.3852236029997584
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.21_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.013287434999256,False,4.403877937999823
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.21_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.6019223020002755,False,4.106520216999343
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.22_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.052529970000251,False,3.65639917199951
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.22_start_0.1_1.0_epsilon_0.01.vnnlib],False,9.90288694100036,False,3.8542472869994526
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.23_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.9633511849997376,False,4.112547584999447
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.24_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.242139255999973,False,3.791524758000378
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.25_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.9816771719997632,False,4.276524418000008
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.25_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.259946708000825,True,4.4522231780001675
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.26_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.557075007000094,False,4.070728546999817
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.27_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.8422809470002903,False,3.576779582999734
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.27_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.020525686999463,True,4.559334751999813
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.919755859999896,False,4.004967966999175
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.420144097000048,False,4.251180013000521
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.6510047539995867,True,3.5900066009999136
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.30_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.472739453000031,True,4.084197483000025
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.31_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.531994181999835,False,3.520187817000078
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.31_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.7263801919998514,True,10.204961026000092
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.32_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.1826130279996505,True,3.420101222000085
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.33_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.6210306000002674,False,3.809223733000181
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.34_start_0.1_0.15_epsilon_0.01.vnnlib],False,4.191719950999868,False,4.701753858999837
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.34_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.211972457000229,True,4.142511099999865
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.9712210030002097,True,3.6857044999997015
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.175117266999223,True,3.864203673000702
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.857744474000356,True,3.6981004660001418
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.0659883859998445,True,4.194661656999415
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.992359521999788,False,4.12900347499999
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.903399024000464,False,4.106469344000288
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.40_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.162633117000041,True,4.630016492000323
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.41_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.182452367999758,True,4.7818783339998845
