Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.12_start_0.1_0.1125_epsilon_0.01.vnnlib],False,3.142673166999998,False,4.078138515999967
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.12_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.549583310999992,True,4.016012729999943
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.12_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.7692608799999334,False,3.742267935999962
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.14_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.767950613999915,True,4.978931199000044
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.14_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.606421965999971,False,3.542197953999903
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.15_start_0.1_0.1125_epsilon_0.01.vnnlib],False,3.3433666740000945,False,4.5776390329999685
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.16_start_0.1_0.1125_epsilon_0.01.vnnlib],False,3.6171348139999964,False,4.020777113000008
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.16_start_0.1_1.8_epsilon_0.01.vnnlib],False,4.535146853000015,False,4.198798841999974
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.17_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.67574038500004,False,4.435510815000043
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.19_start_0.1_1.0_epsilon_0.01.vnnlib],False,9.926934266999979,False,6.468180206000056
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.19_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.1447146099999372,False,3.8828747320000048
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.20_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.112098310999954,False,3.757862510999985
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.21_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.669323752999958,False,5.164999400999932
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.21_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.855447490000074,False,5.067129758999954
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.22_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.597395623000011,False,9.893574039999976
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.22_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.448015370999997,True,4.189756179000028
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.24_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.143698136000012,False,5.909757530999968
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.24_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.235884906000024,False,4.1421770849999575
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.24_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.393828051000014,False,4.5571791930000245
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.26_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.385150463999935,False,3.8347794720000365
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.27_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.491506573000038,False,4.22982269900001
